date,Air Temperature,Dew Point,Relative Humidity,Wind Direction,Wind Speed,Solar Radiation(GHI)
1/1/2017 0:00,8.80,6.10,83.38,196.00,0.50,0.00
1/1/2017 1:00,8.50,6.10,84.73,52.00,0.50,0.00
1/1/2017 2:00,8.30,6.00,85.37,77.00,0.60,0.00
1/1/2017 3:00,8.10,6.00,86.66,90.00,0.70,0.00
1/1/2017 4:00,8.40,6.10,85.41,99.00,1.00,0.00
1/1/2017 5:00,9.50,6.70,82.66,103.00,1.30,105.00
1/1/2017 6:00,11.20,7.30,76.86,106.00,1.50,281.00
1/1/2017 7:00,13.10,7.30,67.89,112.00,1.40,436.00
1/1/2017 8:00,14.50,6.80,59.72,118.00,1.20,544.00
1/1/2017 9:00,15.20,6.10,54.59,127.00,1.00,590.00
1/1/2017 10:00,15.60,5.50,50.91,145.00,0.70,572.00
1/1/2017 11:00,15.50,5.00,49.49,193.00,0.50,492.00
1/1/2017 12:00,15.00,4.90,50.80,248.00,0.50,177.00
1/1/2017 13:00,13.60,6.60,62.48,272.00,0.70,184.00
1/1/2017 14:00,12.20,6.20,66.62,277.00,1.00,9.00
1/1/2017 15:00,11.60,5.30,65.33,275.00,1.00,0.00
1/1/2017 16:00,11.30,5.10,65.82,270.00,1.00,0.00
1/1/2017 17:00,11.10,4.90,65.67,264.00,0.90,0.00
1/1/2017 18:00,10.80,4.80,66.49,258.00,0.90,0.00
1/1/2017 19:00,10.40,4.80,68.05,251.00,0.90,0.00
1/1/2017 20:00,10.00,4.70,69.59,248.00,1.00,0.00
1/1/2017 21:00,9.40,4.60,71.93,245.00,1.00,0.00
1/1/2017 22:00,8.90,4.50,73.69,241.00,1.10,0.00
1/1/2017 23:00,8.60,4.30,74.54,239.00,1.10,0.00
1/2/2017 0:00,8.00,4.30,77.26,236.00,1.20,0.00
1/2/2017 1:00,7.60,4.20,78.94,232.00,1.20,0.00
1/2/2017 2:00,7.30,4.10,80.07,226.00,1.20,0.00
1/2/2017 3:00,7.00,4.10,81.87,221.00,1.20,0.00
1/2/2017 4:00,7.70,4.20,78.40,220.00,1.30,0.00
1/2/2017 5:00,9.70,5.50,75.21,221.00,1.60,41.00
1/2/2017 6:00,12.10,6.40,67.97,224.00,2.00,284.00
1/2/2017 7:00,14.10,6.20,59.12,229.00,2.30,441.00
1/2/2017 8:00,15.30,5.80,53.12,234.00,2.60,548.00
1/2/2017 9:00,15.70,5.60,51.03,239.00,2.60,312.00
1/2/2017 10:00,15.50,5.70,52.11,244.00,2.50,73.00
1/2/2017 11:00,15.00,6.20,55.62,250.00,2.30,61.00
1/2/2017 12:00,14.10,6.90,61.87,257.00,2.00,26.00
1/2/2017 13:00,12.40,8.00,74.51,265.00,1.50,182.00
1/2/2017 14:00,10.70,8.40,85.62,271.00,1.30,24.00
1/2/2017 15:00,10.10,7.60,84.70,274.00,1.30,0.00
1/2/2017 16:00,10.10,7.50,83.79,273.00,1.30,0.00
1/2/2017 17:00,10.20,7.50,83.34,270.00,1.20,0.00
1/2/2017 18:00,10.20,7.50,83.06,266.00,1.10,0.00
1/2/2017 19:00,10.10,7.30,82.69,262.00,1.10,0.00
1/2/2017 20:00,10.10,7.10,81.76,259.00,1.10,0.00
1/2/2017 21:00,10.00,7.00,81.46,257.00,1.20,0.00
1/2/2017 22:00,9.80,7.00,81.93,255.00,1.20,0.00
1/2/2017 23:00,9.70,6.70,81.85,254.00,1.30,0.00
1/3/2017 0:00,9.50,6.80,83.01,252.00,1.30,0.00
1/3/2017 1:00,9.40,6.70,83.50,250.00,1.20,0.00
1/3/2017 2:00,9.20,6.80,84.72,248.00,1.20,0.00
1/3/2017 3:00,9.00,6.80,85.94,246.00,1.20,0.00
1/3/2017 4:00,9.50,6.80,83.06,245.00,1.30,0.00
1/3/2017 5:00,11.00,7.70,80.11,244.00,1.50,108.00
1/3/2017 6:00,12.50,8.30,75.62,243.00,1.60,124.00
1/3/2017 7:00,13.80,8.10,68.32,246.00,1.60,310.00
1/3/2017 8:00,14.90,7.50,61.13,252.00,1.50,59.00
1/3/2017 9:00,15.60,7.10,56.85,259.00,1.50,343.00
1/3/2017 10:00,15.80,6.90,55.38,265.00,1.30,571.00
1/3/2017 11:00,15.60,6.80,55.67,268.00,1.20,273.00
1/3/2017 12:00,15.00,6.80,57.85,268.00,0.90,120.00
1/3/2017 13:00,13.60,8.00,68.87,264.00,0.70,47.00
1/3/2017 14:00,12.50,7.60,72.29,259.00,0.70,6.00
1/3/2017 15:00,12.20,6.60,68.75,252.00,0.60,0.00
1/3/2017 16:00,12.10,6.40,68.20,242.00,0.50,0.00
1/3/2017 17:00,11.90,6.30,68.72,232.00,0.50,0.00
1/3/2017 18:00,11.40,6.30,70.95,225.00,0.70,0.00
1/3/2017 19:00,10.70,6.30,74.23,221.00,0.80,0.00
1/3/2017 20:00,9.90,6.30,78.07,216.00,0.80,0.00
1/3/2017 21:00,9.30,6.10,80.65,209.00,0.70,0.00
1/3/2017 22:00,8.90,6.00,82.08,201.00,0.70,0.00
1/3/2017 23:00,8.70,5.80,82.27,197.00,0.70,0.00
1/4/2017 0:00,8.50,5.70,82.67,194.00,0.70,0.00
1/4/2017 1:00,8.40,5.70,83.21,199.00,0.80,0.00
1/4/2017 2:00,8.40,5.90,84.13,206.00,0.80,0.00
1/4/2017 3:00,8.40,6.00,84.86,211.00,0.80,0.00
1/4/2017 4:00,8.90,6.20,83.17,215.00,0.90,0.00
1/4/2017 5:00,10.20,7.00,80.80,214.00,1.00,6.00
1/4/2017 6:00,11.60,7.40,75.53,211.00,1.20,13.00
1/4/2017 7:00,13.00,8.10,72.16,213.00,1.40,38.00
1/4/2017 8:00,14.10,8.70,70.16,220.00,1.60,274.00
1/4/2017 9:00,14.90,8.90,67.32,227.00,1.70,390.00
1/4/2017 10:00,15.30,8.80,65.03,235.00,1.80,235.00
1/4/2017 11:00,15.20,8.70,65.11,241.00,1.80,291.00
1/4/2017 12:00,14.60,9.00,69.12,243.00,1.60,181.00
1/4/2017 13:00,13.30,10.10,80.72,243.00,1.30,21.00
1/4/2017 14:00,12.20,9.90,85.99,242.00,1.20,26.00
1/4/2017 15:00,11.80,9.30,84.82,242.00,1.20,0.00
1/4/2017 16:00,11.80,9.10,83.73,240.00,1.10,0.00
1/4/2017 17:00,11.70,8.70,81.74,230.00,1.10,0.00
1/4/2017 18:00,11.20,8.40,82.81,219.00,1.20,0.00
1/4/2017 19:00,10.70,8.20,84.60,211.00,1.30,0.00
1/4/2017 20:00,10.20,8.00,86.31,209.00,1.40,0.00
1/4/2017 21:00,10.00,7.90,86.54,208.00,1.40,0.00
1/4/2017 22:00,9.80,7.80,87.24,205.00,1.40,0.00
1/4/2017 23:00,9.60,7.70,87.82,203.00,1.40,0.00
1/5/2017 0:00,9.00,7.60,90.72,194.00,1.20,0.00
1/5/2017 1:00,8.50,7.50,93.24,185.00,1.20,0.00
1/5/2017 2:00,8.10,7.30,94.82,177.00,1.20,0.00
1/5/2017 3:00,7.90,7.20,95.27,170.00,1.30,0.00
1/5/2017 4:00,8.60,7.00,89.71,164.00,1.60,0.00
1/5/2017 5:00,10.40,7.60,82.75,159.00,1.90,105.00
1/5/2017 6:00,12.60,8.20,74.33,155.00,2.00,282.00
1/5/2017 7:00,15.20,8.20,63.20,157.00,1.90,441.00
1/5/2017 8:00,17.10,7.50,53.07,163.00,1.80,550.00
1/5/2017 9:00,18.10,6.40,46.25,171.00,1.60,600.00
1/5/2017 10:00,18.50,5.30,41.92,183.00,1.30,586.00
1/5/2017 11:00,18.40,4.60,40.01,199.00,1.00,382.00
1/5/2017 12:00,17.40,5.30,44.72,211.00,0.70,286.00
1/5/2017 13:00,15.60,8.50,62.84,162.00,0.50,103.00
1/5/2017 14:00,13.80,6.40,61.02,90.00,0.60,14.00
1/5/2017 15:00,12.60,5.80,63.18,74.00,0.90,0.00
1/5/2017 16:00,11.90,5.60,65.23,83.00,1.20,0.00
1/5/2017 17:00,11.50,4.80,63.35,96.00,1.60,0.00
1/5/2017 18:00,10.80,4.30,64.14,107.00,1.90,0.00
1/5/2017 19:00,10.10,3.90,65.40,114.00,2.20,0.00
1/5/2017 20:00,9.50,3.60,66.79,118.00,2.30,0.00
1/5/2017 21:00,8.90,3.50,68.96,121.00,2.30,0.00
1/5/2017 22:00,8.20,3.50,72.12,122.00,2.40,0.00
1/5/2017 23:00,7.90,3.30,72.71,123.00,2.40,0.00
1/6/2017 0:00,7.70,2.90,71.51,122.00,2.50,0.00
1/6/2017 1:00,7.20,2.80,73.38,118.00,2.60,0.00
1/6/2017 2:00,6.90,2.40,73.24,115.00,2.70,0.00
1/6/2017 3:00,6.60,2.20,73.36,115.00,2.80,0.00
1/6/2017 4:00,7.10,2.00,70.00,115.00,2.90,0.00
1/6/2017 5:00,9.00,2.20,62.59,115.00,3.00,114.00
1/6/2017 6:00,12.00,2.90,53.72,117.00,3.00,299.00
1/6/2017 7:00,15.20,3.30,44.92,121.00,2.80,459.00
1/6/2017 8:00,17.70,3.60,39.12,125.00,2.50,569.00
1/6/2017 9:00,19.20,3.50,35.40,128.00,2.00,608.00
1/6/2017 10:00,20.00,3.30,33.26,133.00,1.70,589.00
1/6/2017 11:00,20.10,3.40,33.19,138.00,1.30,503.00
1/6/2017 12:00,18.90,4.80,39.35,141.00,0.80,375.00
1/6/2017 13:00,16.80,10.20,64.90,136.00,0.70,199.00
1/6/2017 14:00,14.70,6.70,58.56,124.00,0.90,30.00
